rank_overall,theologian,sermon_id,sermon_key,cluster,overall_score,n_scores,aesthetics.dramaturgy.b1_narrative_arc.score,aesthetics.dramaturgy.b2_integration_text_and_context.score,aesthetics.dramaturgy.b3_openness_vs_closedness.score,aesthetics.poetics.a1_imagery.score,aesthetics.poetics.a2_carefulness_and_precision.score,aesthetics.poetics.a3_musicality_and_rhythm.score,aristoteles.ethos.score,aristoteles.logos.score,aristoteles.orthodoxy_logos.score,aristoteles.orthopathy_pathos.score,aristoteles.orthopraxy_ethos.score,aristoteles.pathos.score,dekker.1_specific_bible_passage.score,dekker.2_exegesis_original_context.score,dekker.3_application_concrete_contemporary.score,dekker.4_interwoveness_exposition_application.score,dekker.5_three_parts_misery_redemption_gratitude.score,dekker.6_two_ways_seriousness_of_choice.score,dekker.7_christocentric_grace.score,dekker.8_depth_and_length.score,kolb.abstract_conceptualization.score,kolb.active_experimentation.score,kolb.concrete_experience.score,kolb.integrality.balance_between_phases.score,kolb.integrality.cycle_completeness.score,kolb.integrality.holistic_learning.score,kolb.reflective_observation.score,metaphor.coherentie.score,narrative.coherentie.score,schulz.appeal_aspect.score,schulz.factual_content.score,schulz.relational_aspect.score,schulz.self_revelation.score,transactional.adult.score,transactional.child.free_FC.score,transactional.child.freedom_AC.score,transactional.parent.freedom_CP.score,transactional.parent.nurturing_NP.score
124,brueggemann,69,brueggemann_69,7,6.842105263157895,38,7,8,6,8,7,8,6,7,8,9,6,8,5,4,6,7,5,6,5,3,7,5,6,6,7,7,8,10,9,6,6,5,7,9,9,9,7,8
125,keller,25,keller_25,9,6.842105263157895,38,8,9,5,6,8,6,7,8,9,7,6,6,7,6,5,7,6,5,8,8,8,4,5,6,6,6,7,10,10,8,7,5,6,9,5,6,7,8
126,keller,30,keller_30,9,6.842105263157895,38,7,8,5,6,8,6,7,8,9,6,7,6,4,5,6,5,7,4,7,8,8,5,6,6,6,7,7,10,8,8,7,6,6,8,7,9,8,9
127,rutledge,127,rutledge_127,7,6.842105263157895,38,7,8,7,7,8,6,8,6,7,8,8,7,4,5,6,5,7,4,7,5,6,4,7,6,6,6,8,10,10,7,7,6,8,9,6,9,8,7
128,rutledge,173,rutledge_173,7,6.842105263157895,38,8,8,7,8,7,7,6,7,8,8,6,8,5,6,7,5,7,4,7,6,8,4,7,5,6,6,6,10,10,5,7,6,6,9,6,9,8,7
129,rutledge,176,rutledge_176,7,6.842105263157895,38,8,8,7,8,7,7,6,7,8,8,6,8,5,6,5,7,6,4,7,6,7,4,7,6,6,6,8,7,10,8,7,5,6,9,6,9,8,7
130,rutledge,18,rutledge_18,6,6.842105263157895,38,7,8,6,7,8,6,6,7,8,8,7,8,4,5,7,4,6,7,6,8,6,5,7,6,6,7,8,10,9,5,7,6,6,9,7,8,8,7
131,rutledge,206,rutledge_206,6,6.842105263157895,38,8,9,7,7,8,6,8,7,8,5,7,6,4,5,7,6,6,5,7,4,7,5,8,6,6,6,7,10,10,8,7,5,6,9,6,9,7,8
132,rutledge,209,rutledge_209,6,6.842105263157895,38,8,7,6,7,8,7,7,8,9,6,7,6,4,6,5,4,7,5,7,6,8,4,5,5,6,6,7,10,10,8,8,5,6,9,7,9,8,9
133,rutledge,219,rutledge_219,6,6.842105263157895,38,8,9,7,6,8,7,8,7,8,5,8,6,4,3,8,4,6,5,7,5,7,5,7,6,7,7,8,10,10,8,7,5,6,9,5,9,8,7
134,rutledge,233,rutledge_233,6,6.842105263157895,38,7,8,7,7,8,6,7,6,7,8,6,7,5,6,7,4,6,5,6,5,8,4,7,6,6,6,7,10,9,8,7,6,6,9,7,9,8,9
135,rutledge,239,rutledge_239,7,6.842105263157895,38,8,8,6,7,8,7,6,7,8,7,6,8,6,4,7,6,7,5,7,3,8,4,7,6,6,6,6,7,10,8,7,7,6,7,8,9,8,9
136,rutledge,260,rutledge_260,7,6.842105263157895,38,8,8,7,8,7,7,7,7,8,8,7,8,5,4,7,6,7,6,6,5,6,4,8,5,6,6,7,10,10,7,7,6,8,8,5,8,7,6
137,rutledge,288,rutledge_288,7,6.842105263157895,38,8,8,6,8,7,7,6,7,8,8,6,8,4,6,7,5,6,7,5,5,7,4,8,6,6,6,7,10,9,8,7,6,6,9,6,8,7,8
138,rutledge,359,rutledge_359,7,6.842105263157895,38,6,8,7,7,8,7,7,6,7,8,7,8,4,5,7,6,7,4,6,8,7,5,8,6,6,6,7,7,10,5,7,6,6,9,7,8,9,8
139,rutledge,366,rutledge_366,6,6.842105263157895,38,7,8,6,7,8,7,8,7,8,6,8,6,5,4,6,5,7,6,7,4,8,4,6,6,6,6,7,7,10,8,7,6,8,8,7,9,9,8
140,rutledge,59,rutledge_59,6,6.842105263157895,38,7,8,7,7,8,6,8,7,8,6,8,6,6,7,5,6,7,4,6,3,8,4,6,6,6,6,7,10,10,8,7,5,6,9,7,8,9,8
141,rutledge,90,rutledge_90,6,6.842105263157895,38,7,8,6,6,8,6,8,6,8,7,8,7,4,3,7,5,6,6,5,7,8,5,7,6,6,6,6,10,10,8,7,6,8,9,6,9,8,7
142,solle,23,solle_23,7,6.842105263157895,38,7,9,6,8,7,8,7,6,6,8,8,8,5,6,7,6,5,7,4,8,7,6,7,6,7,7,8,7,9,4,6,5,7,8,6,7,8,9
143,solle,24,solle_24,7,6.842105263157895,38,7,9,6,8,7,8,7,6,5,8,7,8,4,6,7,5,6,5,4,8,6,7,8,6,7,8,7,7,6,5,6,7,8,7,8,9,8,9
144,taylor,95,taylor_95,7,6.842105263157895,38,8,9,6,8,7,9,7,6,7,9,8,8,4,3,7,5,6,4,5,5,6,5,7,6,6,7,8,10,7,6,6,7,8,8,9,8,7,8
145,brueggemann,01,brueggemann_01,6,6.815789473684211,38,8,9,7,7,8,6,7,6,6,8,7,7,4,6,7,5,6,4,6,3,7,4,7,6,6,6,8,7,9,8,7,7,6,9,9,9,9,8
146,brueggemann,179,brueggemann_179,6,6.815789473684211,38,8,9,6,7,8,8,7,8,7,6,8,6,4,6,7,5,4,3,5,6,7,5,6,6,6,6,8,10,9,7,7,5,6,9,8,9,8,9
147,brueggemann,89,brueggemann_89,7,6.815789473684211,38,7,8,8,7,8,8,6,7,8,8,6,8,5,4,6,7,6,5,6,4,7,5,7,6,7,7,6,7,9,8,7,6,6,9,6,9,8,7
148,keller,11,keller_11,9,6.815789473684211,38,5,8,6,6,8,5,7,8,9,6,7,6,5,4,6,5,7,6,7,8,8,6,6,6,7,6,8,7,9,8,7,7,6,9,6,9,8,7
149,keller,14,keller_14,9,6.815789473684211,38,7,8,6,6,7,5,6,7,8,6,5,6,7,6,5,4,6,4,7,8,8,5,6,6,6,7,7,10,10,8,7,6,6,9,8,9,8,9
150,keller,43,keller_43,9,6.815789473684211,38,7,8,6,6,8,6,7,7,8,6,7,6,6,5,6,7,8,4,7,8,8,5,6,5,6,6,8,10,8,8,7,6,6,9,6,7,8,7
151,rutledge,11,rutledge_11,9,6.815789473684211,38,7,8,6,8,7,6,7,7,8,8,7,8,3,4,7,5,7,8,6,8,8,6,8,7,7,7,7,10,9,7,7,5,6,8,6,5,4,7
152,rutledge,145,rutledge_145,7,6.815789473684211,38,8,8,6,8,7,7,7,6,7,9,7,8,5,4,7,6,7,5,7,4,6,4,8,6,6,7,7,7,10,7,6,6,7,9,6,9,8,7
153,rutledge,170,rutledge_170,7,6.815789473684211,38,7,8,6,8,7,8,6,7,8,8,6,8,4,5,6,5,7,4,7,6,7,4,7,6,6,6,8,10,10,7,7,5,6,9,6,9,8,7
154,rutledge,251,rutledge_251,7,6.815789473684211,38,8,8,7,7,8,6,8,6,8,9,8,8,4,3,7,5,6,5,6,4,6,5,8,6,6,7,7,7,9,7,7,6,8,9,7,8,7,8
155,rutledge,284,rutledge_284,6,6.815789473684211,38,8,7,6,7,8,6,8,7,8,6,7,6,7,6,5,4,6,4,7,3,7,4,6,6,6,6,8,10,10,8,7,6,8,9,8,9,8,7
156,rutledge,295,rutledge_295,7,6.815789473684211,38,8,7,6,7,7,6,7,6,8,9,7,8,6,5,4,5,6,3,7,4,7,5,8,6,6,6,6,10,9,8,6,7,7,8,8,9,8,9
157,rutledge,313,rutledge_313,7,6.815789473684211,38,6,8,7,7,7,6,7,6,6,8,7,8,5,4,6,5,6,7,6,5,6,5,8,6,7,7,7,10,10,7,6,6,7,8,8,9,7,8
158,rutledge,42,rutledge_42,7,6.815789473684211,38,7,8,6,8,7,8,7,7,8,8,7,8,3,4,7,4,6,5,6,5,7,4,7,6,6,6,8,7,10,7,7,6,8,9,8,9,8,7
159,rutledge,63,rutledge_63,6,6.815789473684211,38,8,8,7,7,8,6,7,7,8,5,7,6,6,4,7,5,8,6,5,6,7,5,6,5,6,6,8,7,10,8,7,5,6,9,7,9,8,9
160,rutledge,87,rutledge_87,6,6.815789473684211,38,7,8,6,8,7,8,8,7,8,6,8,6,5,7,6,4,6,7,5,8,7,5,6,6,6,7,8,7,9,6,7,5,6,9,6,9,8,7
161,taylor,108,taylor_108,7,6.815789473684211,38,7,8,6,8,7,9,7,6,6,8,7,8,4,5,7,6,6,8,3,8,6,5,7,5,6,6,8,10,9,6,6,5,7,6,9,9,7,8
162,brueggemann,72,brueggemann_72,7,6.7894736842105265,38,8,8,7,7,8,7,6,7,7,8,6,8,6,4,5,7,6,7,6,5,7,5,7,6,6,6,8,7,9,7,6,5,7,9,6,9,8,7
163,rutledge,225,rutledge_225,6,6.7894736842105265,38,7,8,5,8,7,6,7,7,8,5,6,6,4,3,6,5,7,7,6,8,7,5,7,6,6,6,8,10,10,8,7,5,6,8,7,9,8,9
164,rutledge,242,rutledge_242,6,6.7894736842105265,38,7,8,6,6,8,7,8,7,8,6,8,6,5,6,7,5,6,4,6,5,7,5,8,6,6,7,7,10,9,7,7,5,6,9,6,9,8,7
165,rutledge,244,rutledge_244,6,6.7894736842105265,38,7,8,6,6,8,7,8,7,8,6,8,6,5,4,6,5,7,3,7,4,8,5,7,6,7,6,6,7,10,8,7,7,6,9,7,9,8,9
166,rutledge,28,rutledge_28,7,6.7894736842105265,38,7,9,7,7,8,8,6,7,8,7,6,7,5,3,7,6,6,5,7,4,6,5,7,6,7,7,8,7,9,5,6,7,7,8,7,9,8,9
167,rutledge,294,rutledge_294,7,6.7894736842105265,38,8,8,6,7,8,7,7,7,8,8,6,8,7,6,7,6,5,4,8,5,7,4,7,6,6,6,8,7,10,8,8,6,7,8,5,9,4,6
168,rutledge,302,rutledge_302,7,6.7894736842105265,38,7,8,6,7,8,6,7,6,7,8,7,8,5,4,7,5,6,6,7,4,6,5,7,6,7,7,8,7,9,7,7,6,8,9,6,9,8,7
169,rutledge,357,rutledge_357,9,6.7894736842105265,38,8,9,7,8,8,7,8,7,8,5,7,6,4,3,6,5,7,5,6,8,6,5,7,6,7,7,8,7,10,8,7,5,6,8,7,9,7,6
170,rutledge,82,rutledge_82,6,6.7894736842105265,38,7,8,7,7,8,6,7,7,8,8,7,8,4,5,6,5,7,4,6,3,7,5,7,6,6,6,8,7,10,8,7,5,6,9,7,9,9,8
171,rutledge,89,rutledge_89,6,6.7894736842105265,38,7,8,6,7,8,6,7,7,8,5,7,6,6,5,7,4,6,4,5,5,8,6,7,7,7,7,8,10,9,8,7,6,6,9,6,8,7,8
172,rutledge,93,rutledge_93,6,6.7894736842105265,38,8,8,6,7,8,7,6,7,8,7,6,8,5,4,7,6,7,8,6,5,6,4,7,6,6,6,8,7,10,8,7,5,6,9,6,8,7,8
173,taylor,106,taylor_106,4,6.7894736842105265,38,7,9,6,8,7,9,7,6,8,9,8,8,3,2,7,4,6,5,6,2,7,5,6,6,6,6,7,10,9,7,6,8,7,7,8,9,8,9
174,taylor,89,taylor_89,4,6.7894736842105265,38,6,8,6,7,8,8,8,5,6,9,8,8,4,5,7,4,6,5,6,5,6,5,8,5,6,7,7,10,8,5,6,7,8,8,7,9,8,9
175,brueggemann,16,brueggemann_16,6,6.7631578947368425,38,7,8,6,8,7,8,7,6,7,8,6,8,5,4,7,6,6,4,6,3,7,5,6,6,6,6,8,10,9,7,7,5,6,9,7,9,9,8
176,rutledge,132,rutledge_132,7,6.7631578947368425,38,7,8,6,8,7,7,6,7,8,7,5,8,4,5,6,5,7,6,6,4,7,5,7,6,6,7,8,10,10,8,7,5,6,9,6,8,7,8
177,rutledge,15,rutledge_15,6,6.7631578947368425,38,7,8,6,6,8,7,8,7,8,6,8,6,4,3,6,5,7,6,7,5,7,4,6,6,6,6,8,10,9,8,7,6,8,9,8,7,6,8
178,rutledge,168,rutledge_168,6,6.7631578947368425,38,7,8,7,7,8,6,7,7,8,6,7,6,6,5,7,6,7,4,8,5,7,4,7,6,6,6,8,7,10,7,7,5,6,9,6,9,8,7
179,rutledge,171,rutledge_171,6,6.7631578947368425,38,7,8,7,7,8,6,7,7,8,6,7,6,4,5,6,5,7,4,7,5,7,4,7,6,6,6,8,10,10,8,7,6,6,9,6,9,8,7
180,rutledge,208,rutledge_208,6,6.7631578947368425,38,7,8,6,7,8,6,8,7,8,6,8,6,4,5,7,6,7,6,5,5,7,5,7,6,6,6,8,7,10,8,7,5,6,9,6,9,8,7
181,rutledge,232,rutledge_232,7,6.7631578947368425,38,7,8,6,6,8,7,6,7,8,8,6,8,5,4,7,5,6,4,6,3,7,5,8,6,6,7,7,7,10,8,7,6,6,9,7,9,9,8
182,rutledge,259,rutledge_259,7,6.7631578947368425,38,8,8,7,8,7,7,7,7,8,9,7,8,5,4,7,6,8,6,6,4,7,5,8,6,6,6,7,10,10,8,7,6,8,8,5,3,4,6
183,rutledge,283,rutledge_283,6,6.7631578947368425,38,8,8,7,7,8,6,8,7,8,6,8,6,6,5,4,7,6,3,6,4,7,4,7,6,6,6,8,10,10,8,7,5,6,9,6,9,8,7
184,rutledge,300,rutledge_300,4,6.7631578947368425,38,7,9,6,8,7,6,7,6,6,9,7,8,3,2,7,4,6,5,6,4,6,5,8,6,7,7,7,10,9,5,6,7,7,9,9,9,9,8
185,rutledge,34,rutledge_34,7,6.7631578947368425,38,8,9,7,8,7,7,7,7,8,8,6,8,4,3,7,5,6,7,2,5,6,4,8,5,6,6,7,10,10,7,7,5,6,9,7,8,9,8
186,rutledge,64,rutledge_64,7,6.7631578947368425,38,8,8,6,7,8,7,8,7,8,8,7,8,4,3,6,4,5,4,6,3,6,5,7,6,6,7,8,7,10,8,7,8,6,8,7,9,9,8
187,rutledge,65,rutledge_65,7,6.7631578947368425,38,8,8,7,8,7,6,7,7,8,8,6,8,4,5,6,5,7,4,6,4,7,4,7,6,6,6,8,10,10,8,7,5,6,8,4,9,8,9
188,taylor,50,taylor_50,4,6.7631578947368425,38,7,8,6,8,7,9,7,5,7,8,7,8,6,7,5,4,6,7,5,8,6,4,7,6,6,7,8,7,9,6,6,5,7,8,6,8,7,9
189,brueggemann,05,brueggemann_05,4,6.7368421052631575,38,7,8,6,7,8,8,7,6,7,8,6,8,4,3,6,5,7,4,6,3,6,5,8,6,7,7,7,10,9,5,6,8,7,7,8,9,8,9
190,keller,18,keller_18,6,6.7368421052631575,38,7,8,5,6,8,6,6,7,8,5,6,5,6,5,6,4,7,7,8,7,7,5,6,6,6,6,8,10,10,8,7,6,6,9,6,8,7,8
191,rutledge,108,rutledge_108,6,6.7368421052631575,38,7,8,6,7,8,6,6,7,8,5,6,6,5,4,7,6,6,5,7,4,7,5,8,6,7,7,7,10,10,8,7,5,6,9,6,9,8,7
192,rutledge,204,rutledge_204,7,6.7368421052631575,38,7,8,6,6,7,6,7,6,7,8,7,8,4,5,6,4,5,6,7,3,8,6,7,6,7,7,6,7,9,7,7,6,8,9,7,9,8,9
193,rutledge,255,rutledge_255,7,6.7368421052631575,38,7,8,6,7,6,6,8,7,7,9,8,8,4,5,7,6,7,6,5,4,6,4,7,6,6,6,8,7,9,7,7,6,8,9,6,8,7,8
194,rutledge,305,rutledge_305,7,6.7368421052631575,38,7,8,6,7,8,6,8,6,7,8,8,7,4,3,6,4,7,2,6,4,6,5,8,6,6,7,7,10,10,8,6,7,7,7,8,9,8,9
195,rutledge,353,rutledge_353,7,6.7368421052631575,38,8,8,6,8,7,7,7,6,7,8,7,8,5,3,7,4,6,6,5,5,6,5,8,6,7,7,7,7,9,8,7,6,6,9,7,8,7,8
196,rutledge,36,rutledge_36,2,6.7368421052631575,38,8,9,7,8,7,7,6,7,8,8,6,8,5,6,7,6,7,8,7,5,7,4,6,6,6,6,8,10,10,7,8,6,7,7,3,5,4,6
197,rutledge,79,rutledge_79,7,6.7368421052631575,38,8,8,7,7,8,6,6,7,8,8,6,8,5,4,7,5,6,4,3,4,7,5,8,6,6,7,7,10,10,8,7,5,6,9,6,9,8,7
198,taylor,33,taylor_33,4,6.7368421052631575,38,7,8,6,8,7,8,8,5,7,9,8,8,4,3,5,4,6,2,6,5,6,5,7,6,7,7,8,10,9,6,5,7,8,7,8,9,9,8
199,brueggemann,118,brueggemann_118,6,6.7105263157894735,38,7,8,7,8,7,8,8,7,8,6,8,6,6,4,7,6,5,5,3,5,7,5,6,6,6,7,8,7,7,6,7,5,6,9,8,9,9,8
200,brueggemann,180,brueggemann_180,6,6.7105263157894735,38,7,8,6,7,8,8,8,7,8,6,8,6,5,4,7,6,6,3,5,3,6,5,8,6,6,7,7,10,9,5,6,6,7,8,7,9,9,8
201,brueggemann,27,brueggemann_27,4,6.7105263157894735,38,7,8,6,8,7,8,7,7,7,9,7,8,5,6,4,7,6,3,5,4,7,4,6,6,6,6,8,7,9,8,6,7,7,7,8,7,8,9
202,brueggemann,44,brueggemann_44,6,6.7105263157894735,38,7,8,6,8,7,8,5,8,8,6,5,6,5,6,7,6,5,7,4,5,7,5,7,6,6,6,8,10,9,6,7,5,6,9,7,9,8,7
203,brueggemann,80,brueggemann_80,7,6.7105263157894735,38,8,7,6,8,7,8,7,6,6,8,7,8,6,5,7,6,5,4,5,4,6,5,7,6,6,6,8,7,9,8,6,5,7,7,8,9,8,9
204,keller,26,keller_26,9,6.7105263157894735,38,7,8,6,7,8,6,6,8,9,6,5,6,6,5,7,6,7,7,8,8,8,5,6,5,6,6,8,10,7,7,8,7,6,7,8,5,4,6
205,rutledge,110,rutledge_110,6,6.7105263157894735,38,8,9,6,7,8,6,8,7,8,6,7,6,5,4,6,5,6,4,5,5,7,5,7,6,6,6,8,10,9,8,7,5,6,9,6,9,7,8
206,rutledge,143,rutledge_143,7,6.7105263157894735,38,7,8,6,8,7,6,7,6,7,8,6,8,5,4,7,6,7,5,6,4,6,4,8,6,6,7,7,7,10,5,6,7,7,9,8,9,8,7
207,rutledge,146,rutledge_146,7,6.7105263157894735,38,8,8,7,8,7,7,7,6,7,9,7,8,4,3,7,5,6,4,6,5,6,4,8,5,6,6,7,7,10,7,6,7,8,9,6,9,8,7
208,rutledge,227,rutledge_227,6,6.7105263157894735,38,6,8,7,8,7,7,8,7,8,6,7,6,6,4,7,6,7,3,5,4,7,5,7,6,7,7,8,7,9,6,6,5,7,9,8,9,8,7
209,rutledge,231,rutledge_231,7,6.7105263157894735,38,7,8,6,7,8,6,7,6,7,8,7,8,5,4,7,6,6,4,5,4,6,7,8,6,7,7,7,7,7,5,6,6,7,9,8,9,8,9
210,rutledge,234,rutledge_234,6,6.7105263157894735,38,7,8,6,6,8,7,8,7,8,6,7,6,4,5,6,5,7,6,7,5,8,4,7,6,6,6,8,7,9,8,7,6,6,9,6,8,7,8
211,rutledge,235,rutledge_235,6,6.7105263157894735,38,7,8,6,6,7,6,8,6,8,7,8,7,4,5,6,4,6,5,7,5,8,5,6,6,6,6,7,7,10,7,7,6,8,9,7,9,7,8
212,rutledge,250,rutledge_250,6,6.7105263157894735,38,7,8,6,7,8,6,7,6,8,7,6,7,4,5,7,5,6,4,7,5,7,5,7,6,7,7,8,7,10,8,7,5,6,9,6,7,8,9
213,rutledge,29,rutledge_29,7,6.7105263157894735,38,8,9,7,7,8,6,6,7,8,8,5,8,5,6,7,6,5,7,6,5,7,7,8,7,8,7,6,10,9,4,7,5,6,8,4,7,6,5
214,rutledge,293,rutledge_293,6,6.7105263157894735,38,7,8,7,7,8,6,7,7,8,8,6,8,7,6,7,5,6,4,7,5,7,4,7,6,6,6,8,7,10,7,8,6,7,8,5,8,4,7
215,rutledge,296,rutledge_296,7,6.7105263157894735,38,8,7,6,7,6,7,7,6,8,8,7,8,6,5,4,5,6,3,7,4,7,5,8,6,6,7,6,10,10,5,6,6,7,7,8,9,8,9
216,rutledge,298,rutledge_298,7,6.7105263157894735,38,7,8,5,8,7,6,6,7,8,8,6,8,5,6,7,4,6,3,7,4,7,5,8,6,6,6,7,7,10,7,7,6,6,8,7,9,8,9
217,rutledge,299,rutledge_299,7,6.7105263157894735,38,8,9,6,8,7,7,7,6,7,9,7,8,3,2,7,4,5,4,6,4,6,5,8,5,6,7,7,10,9,5,6,6,7,9,9,9,9,8
218,rutledge,306,rutledge_306,7,6.7105263157894735,38,7,8,6,6,7,6,8,6,7,8,8,7,4,3,7,5,6,2,6,5,6,5,8,6,6,7,7,10,10,8,6,6,7,7,8,9,8,9
219,rutledge,328,rutledge_328,2,6.7105263157894735,38,7,8,5,7,8,6,7,7,8,8,6,8,5,4,5,6,7,6,8,5,8,4,6,5,6,6,7,7,10,8,7,5,6,7,6,9,8,9
220,rutledge,356,rutledge_356,6,6.7105263157894735,38,7,8,6,7,8,6,8,6,8,7,8,7,5,4,7,5,6,4,6,5,6,5,7,6,6,6,8,7,10,5,6,7,7,8,7,9,9,8
221,rutledge,361,rutledge_361,6,6.7105263157894735,38,7,8,6,7,8,6,8,7,8,6,7,6,6,7,4,5,6,5,7,3,8,4,7,6,6,6,6,10,10,6,7,5,6,9,7,8,9,8
222,rutledge,55,rutledge_55,6,6.7105263157894735,38,8,7,6,7,8,7,5,6,8,7,5,7,6,5,4,7,6,5,8,7,7,4,6,6,6,6,8,10,10,7,7,5,6,9,6,8,7,8
223,rutledge,72,rutledge_72,6,6.7105263157894735,38,6,8,5,7,8,6,8,6,8,5,7,5,4,6,5,4,7,5,5,7,7,4,7,6,6,7,8,10,10,8,8,6,7,9,6,9,8,7
224,solle,21,solle_21,4,6.7105263157894735,38,7,8,6,8,7,8,8,5,5,8,8,8,6,5,7,6,7,4,2,5,6,5,8,7,7,8,7,7,8,7,5,6,8,6,8,9,8,7
225,taylor,112,taylor_112,4,6.7105263157894735,38,6,8,7,8,7,8,7,5,7,9,7,8,4,5,6,4,5,3,6,5,6,5,8,6,7,7,7,7,9,6,6,7,8,7,8,9,8,9
226,brueggemann,03,brueggemann_03,6,6.684210526315789,38,7,8,7,7,8,8,6,7,8,9,6,8,4,5,7,6,6,5,5,4,7,4,5,5,6,6,8,7,9,7,7,5,6,9,9,8,7,8
227,brueggemann,129,brueggemann_129,5,6.684210526315789,38,7,8,6,7,8,8,6,7,8,6,5,6,4,6,7,5,6,7,5,4,8,6,5,6,7,6,7,10,7,6,7,5,6,9,7,9,8,9
228,brueggemann,21,brueggemann_21,6,6.684210526315789,38,8,9,7,8,7,8,7,7,8,5,6,6,7,6,7,8,6,5,4,5,8,5,6,6,6,6,8,10,9,8,7,5,6,7,5,8,4,6
229,brueggemann,35,brueggemann_35,5,6.684210526315789,38,7,8,6,8,7,8,8,7,8,6,7,6,4,5,6,5,4,6,5,4,7,5,6,6,6,6,8,7,9,5,7,8,6,8,9,9,8,9
230,brueggemann,48,brueggemann_48,6,6.684210526315789,38,7,8,6,7,8,8,8,7,8,6,7,6,6,5,7,4,6,7,5,4,7,4,6,6,6,6,8,10,8,6,7,5,6,9,6,9,8,7
231,keller,35,keller_35,9,6.684210526315789,38,7,8,6,6,8,5,7,8,8,6,7,6,6,7,8,5,6,6,7,8,7,4,5,5,6,6,8,10,7,5,7,6,6,9,4,9,8,7
232,keller,37,keller_37,9,6.684210526315789,38,6,8,5,6,8,5,7,8,9,6,7,6,4,3,6,5,7,4,8,7,8,5,6,6,7,7,7,7,10,8,7,6,6,9,6,9,8,7
233,rutledge,117,rutledge_117,6,6.684210526315789,38,7,8,6,6,8,7,8,7,8,6,8,6,4,3,6,5,7,4,7,5,8,4,6,5,6,6,8,10,10,8,7,5,6,9,6,9,8,7
234,rutledge,13,rutledge_13,9,6.684210526315789,38,7,8,6,7,8,6,8,7,8,6,8,6,4,5,7,5,6,7,6,5,8,5,7,6,7,7,6,10,9,5,7,6,6,9,4,7,8,7
235,rutledge,144,rutledge_144,4,6.684210526315789,38,8,8,7,8,7,7,7,6,7,8,6,8,4,3,6,5,7,5,6,4,6,4,8,5,6,6,7,7,9,8,6,6,7,9,7,9,8,9
236,rutledge,223,rutledge_223,7,6.684210526315789,38,8,9,7,8,8,7,7,7,8,8,7,8,5,4,7,6,7,6,7,5,7,6,7,6,7,7,8,10,10,7,7,5,6,7,2,3,4,6
237,rutledge,289,rutledge_289,2,6.684210526315789,38,8,8,6,7,8,7,7,7,8,6,7,6,6,7,8,5,7,6,7,5,8,5,7,6,7,7,6,10,10,8,7,6,6,6,5,3,4,7
238,rutledge,315,rutledge_315,6,6.684210526315789,38,7,8,6,6,7,6,8,7,8,6,8,6,6,7,5,4,5,3,6,4,7,5,8,6,7,7,6,10,9,5,7,6,6,9,7,9,8,9
239,rutledge,325,rutledge_325,7,6.684210526315789,38,8,8,6,8,7,7,8,7,8,6,8,6,4,5,7,6,7,6,8,5,7,5,7,6,6,6,8,10,10,7,7,6,8,7,4,5,4,6
240,rutledge,327,rutledge_327,6,6.684210526315789,38,7,8,6,6,7,5,8,7,8,6,8,6,6,5,7,6,6,4,8,4,8,5,7,6,6,7,6,7,10,8,7,6,6,7,6,7,8,9
241,rutledge,349,rutledge_349,5,6.684210526315789,38,7,8,6,8,7,6,7,7,9,6,7,6,5,6,7,5,6,4,7,5,8,4,7,6,6,6,6,7,10,8,7,5,6,8,7,9,7,8
242,rutledge,38,rutledge_38,6,6.684210526315789,38,7,8,6,8,7,8,6,7,8,7,6,7,4,3,6,5,7,6,6,4,7,5,7,6,6,6,8,10,10,7,8,6,7,8,5,9,7,6
243,rutledge,54,rutledge_54,7,6.684210526315789,38,7,8,6,6,7,5,8,6,7,8,7,7,5,4,6,5,6,7,5,6,8,5,7,6,7,7,6,10,9,5,6,6,7,8,7,9,7,8
244,rutledge,75,rutledge_75,6,6.684210526315789,38,6,8,7,7,8,7,8,6,8,7,7,7,4,6,7,5,6,7,4,8,7,5,7,6,6,6,8,7,9,6,7,5,6,8,7,8,7,6
245,taylor,83,taylor_83,4,6.684210526315789,38,7,8,6,8,7,9,7,5,6,8,7,8,4,3,6,5,7,6,5,5,6,5,7,6,6,7,8,7,9,7,6,7,8,6,9,8,7,8
246,brueggemann,07,brueggemann_07,6,6.657894736842105,38,6,8,7,7,8,8,7,8,9,5,7,6,6,7,5,4,6,3,5,3,8,6,5,6,7,6,7,10,7,6,7,5,6,9,7,9,9,8
247,brueggemann,115,brueggemann_115,6,6.657894736842105,38,7,8,6,7,8,8,7,6,7,8,7,7,4,3,6,5,6,4,7,4,7,5,7,6,6,6,8,7,9,7,7,8,6,9,7,8,7,8
248,brueggemann,154,brueggemann_154,6,6.657894736842105,38,7,8,6,7,8,8,7,7,8,5,7,6,4,6,7,5,6,7,5,4,7,5,6,6,6,7,8,10,7,6,6,5,7,9,6,9,8,7
249,keller,44,keller_44,9,6.657894736842105,38,7,8,5,6,8,6,7,8,9,5,7,6,5,4,7,5,6,7,8,8,7,5,6,6,6,7,8,10,9,8,7,6,6,8,4,5,6,7
250,rutledge,128,rutledge_128,2,6.657894736842105,38,8,8,6,7,8,7,8,7,8,9,7,8,4,5,7,6,7,6,8,5,7,5,7,6,6,6,8,10,10,8,8,6,7,5,6,2,3,4
